target,feature_set,model,transform,is_dummy,n_test_sum,selection_metric_name,selection_rmse_mean,rank_selection_rmse,selection_r2_mean,rank_selection_r2,selection_spearman_r_mean,rank_selection_spearman,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean,rank_original_rmse,rank_modelscale_rmse
DO,S2 + Context,ExtraTrees,raw,False,114,original_rmse_mean,1.254960676694033,2.0,-0.4115405148156205,2.0,0.1788572126574251,5.0,1.254960676694033,0.0898335233688268,1.0123345446950711,-0.4115405148156205,0.2254695319768661,0.1788572126574251,-0.2606565162907262,1.254960676694033,0.0898335233688268,-0.4115405148156205,0.1788572126574251,2.0,2.0
DO,S2 + Context,XGBoost,raw,False,114,original_rmse_mean,1.3098117616230178,3.0,-0.5990865879063542,5.0,0.196592021134012,3.0,1.3098117616230178,0.1516254475343216,1.0635292802777208,-0.5990865879063542,0.2661324065454497,0.196592021134012,-0.2895276805810761,1.3098117616230178,0.1516254475343216,-0.5990865879063542,0.196592021134012,3.0,3.0
DO,S2 + Context,RandomForest,raw,False,114,original_rmse_mean,1.31282883548326,4.0,-0.5419975768048372,3.0,0.1416885739982051,6.0,1.31282883548326,0.1363243599818067,1.0848834783706962,-0.5419975768048372,0.2109594886002892,0.1416885739982051,-0.3425371431728948,1.31282883548326,0.1363243599818067,-0.5419975768048372,0.1416885739982051,4.0,4.0
DO,S2 + Context,CatBoost,raw,False,114,original_rmse_mean,1.3171156706648637,5.0,-0.5835486140922633,4.0,0.2095028320560892,2.0,1.3171156706648637,0.113843089786514,1.081142206008573,-0.5835486140922633,0.2032886063754722,0.2095028320560892,-0.330830728522018,1.3171156706648637,0.113843089786514,-0.5835486140922633,0.2095028320560892,5.0,5.0
DO,S2 + Context,Stacking_RidgeMeta,raw,False,114,original_rmse_mean,1.3890126868710408,6.0,-0.7645340108723108,6.0,0.1910612968214046,4.0,1.3890126868710408,0.1436209369925691,1.0748238127047791,-0.7645340108723108,0.1381513753125136,0.1910612968214046,-0.3218682603466734,1.3890126868710408,0.1436209369925691,-0.7645340108723108,0.1910612968214046,6.0,6.0
DO,S2 + Context,Ridge,raw,False,114,original_rmse_mean,3.1792396500845945,7.0,-7.181515259183516,7.0,0.3076542148847871,1.0,3.1792396500845945,2.25045163514125,1.5381946747947517,-7.181515259183516,0.2026712130448973,0.3076542148847871,0.122079943508693,4.0001678912318015,2.4264679183192843,-11.433152920993562,0.3076542148847871,7.0,7.0
DO,S2 + Context,ElasticNet,raw,False,114,original_rmse_mean,4.38914245940003,8.0,-15.144229792677558,8.0,0.134799551973401,7.0,4.38914245940003,3.353104097359451,2.5440514200320945,-15.144229792677558,0.0496879405053513,0.134799551973401,0.6989932160877942,5.202383428719562,3.5283333967315245,-20.497360899184788,0.134799551973401,8.0,8.0
Turbidity,S2 only,ElasticNet,log1p,False,114,modelscale_rmse_mean,0.8116207366557044,1.0,0.3697414850891576,1.0,0.629940032020028,1.0,52.11199024620535,28.743776216438253,22.803824921944766,0.2092507953143982,0.5504262044383549,0.629940032020028,-16.607444547197876,0.8116207366557044,0.2002932268759462,0.3697414850891576,0.629940032020028,4.0,1.0
Turbidity,S2 only,Ridge,log1p,False,114,modelscale_rmse_mean,0.8175201604587929,2.0,0.3597419041222943,2.0,0.6279706966117952,2.0,53.5248149801177,29.26228056892657,23.654531120521305,0.171872251107587,0.5654472474901517,0.6279706966117952,-17.874128742709928,0.8175201604587929,0.2139517465288987,0.3597419041222943,0.6279706966117952,7.0,2.0
Turbidity,S2 only,Stacking_RidgeMeta,log1p,False,114,modelscale_rmse_mean,0.8229271992849169,3.0,0.3562346338393811,3.0,0.5906916023861712,4.0,53.06139845806244,28.663383544650834,22.88745269397413,0.1855755425236647,0.5495671176918422,0.5906916023861712,-16.228305101706397,0.8229271992849169,0.1969785994149635,0.3562346338393811,0.5906916023861712,6.0,3.0
