target,feature_set,model,transform,n_test_sum,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean
FCB,S2 + Context,CatBoost,log1p,114,3184.1591664949624,567.9678263779934,1599.9232283295833,-0.047962701275137964,0.26111070701488587,0.22001907127174322,-963.1351811240924,2.054775658068658,0.5667823526119169,-0.08657332121430361,0.22001907127174322
FCB,S2 + Context,DummyMedian,log1p,114,3345.975997554122,647.3589179351396,1571.8274316473146,-0.15130237315260228,,,-1214.663796422861,2.0293723395975083,0.507771682754959,-0.06242554688972443,
FCB,S2 + Context,ElasticNet,log1p,114,2230768.6615232304,3763492.6367905037,765994.6534323149,-1082075.048165375,0.16314020288490175,-0.08497518615957893,763875.0308543114,4.578294957402922,1.3186488613331473,-4.760564224064711,-0.08497518615957893
FCB,S2 + Context,ExtraTrees,log1p,114,3225.189224238889,497.7472956600828,1581.3800240147268,-0.07736203278768473,0.2358936439628255,0.1490747381878721,-1060.9777960673325,2.070230087513391,0.6106692632796598,-0.1000737223950957,0.1490747381878721
FCB,S2 + Context,RandomForest,log1p,114,3197.6831225133187,564.0067784940568,1544.3902691354594,-0.0545293078296056,0.3247920155166715,0.257002319305863,-1074.7653701609495,2.0305348335649858,0.5334839899589686,-0.0613324783572802,0.257002319305863
FCB,S2 + Context,Ridge,log1p,114,470069.56656088494,808211.2235848923,190002.38366476493,-49249.925057207096,0.18087378508565674,-0.03696730711118867,187845.37161386837,4.2422575035718975,1.828717826026813,-4.655432030536546,-0.037458615034642165
FCB,S2 + Context,Stacking_RidgeMeta,log1p,114,3177.8876251749657,605.4964452489849,1560.3077150487134,-0.03931816484018953,0.3512038742587576,0.13920551510872894,-1061.2744285328836,2.1171949953752187,0.6298260796803852,-0.1468642640701666,0.13920551510872894
FCB,S2 + Context,XGBoost,log1p,114,3168.890959534457,561.2966724059999,1635.2742619515973,-0.0410979475066907,0.28237186911480644,0.20349487249762685,-872.9735075261628,2.1264982646695567,0.5659883986598516,-0.16238792547755312,0.20349487249762685
FCB,S2 only,CatBoost,log1p,114,3261.4063660931192,611.5365346669828,1645.3778588462799,-0.09758227848987233,0.18325805367634931,0.09430887501608047,-1034.5706161251244,2.1984705191108325,0.562895617731855,-0.25402690394245636,0.09430887501608047
FCB,S2 only,DummyMedian,log1p,114,3345.975997554122,647.3589179351396,1571.8274316473146,-0.15130237315260228,,,-1214.663796422861,2.0293723395975083,0.507771682754959,-0.06242554688972443,
FCB,S2 only,ElasticNet,log1p,114,3276.794245185211,523.3556159200197,1649.4314265191358,-0.11240793551581503,0.12129961674456624,0.13512884798938088,-961.1242929259779,2.0771688928245613,0.3566560488967134,-0.13491651199434623,0.13512884798938088
FCB,S2 only,ExtraTrees,log1p,114,3225.330982423937,554.320324209014,1589.875189209206,-0.07601432818750396,0.20394799291049825,0.110029451672216,-1044.384648701069,2.12229054886282,0.43438919199422227,-0.17957804272106057,0.110029451672216
FCB,S2 only,RandomForest,log1p,114,3250.1627445469653,594.4612939790811,1578.6820580222145,-0.09008545659020772,0.19545200723012993,0.15798336035502628,-1058.1776435597458,2.0344037889902276,0.4801769826520351,-0.0707383480897673,0.15798336035502628
FCB,S2 only,Ridge,log1p,114,3317.2229123425227,606.1507107526933,1584.1074722160974,-0.1336303633825748,0.09028797689167396,0.103731638667954,-1146.5722389786595,2.0697771285778255,0.379113915025273,-0.12452609172599631,0.103731638667954
FCB,S2 only,Stacking_RidgeMeta,log1p,114,3290.7121336435216,633.2844003973206,1559.442806490517,-0.11464640171533742,0.1905390770315728,0.16435940016711453,-1155.1224460772758,2.014147318576192,0.4552681596793937,-0.05239483074151913,0.16435940016711453
FCB,S2 only,XGBoost,log1p,114,3253.2261319287463,601.7089581734741,1665.757370995793,-0.09197215860062023,0.13581191689978975,0.08874131629603299,-937.9237626612944,2.187870925206292,0.505069637503332,-0.24365386097814293,0.08874131629603299
SS,Context only,CatBoost,log1p,114,49.04233690370554,45.22914457911118,21.904386555501475,0.12956580035002882,0.4261483630266123,0.3751095073445101,-12.540992419051932,0.8381200925575256,0.17697572821005778,0.009027623533555967,0.3751095073445101
SS,Context only,DummyMedian,log1p,114,52.479079539217345,43.40628871621183,23.176194909767684,-0.09902123774357237,,,-15.911524388477934,0.9196904659746402,0.18287797730743832,-0.19754121440542113,
SS,Context only,ElasticNet,log1p,114,22712.488233076507,38100.23810047254,6908.745655597948,-1617852.4076601036,0.2775481338183204,0.025259871509087164,6884.461784375656,3.320579534885535,1.1292928416709755,-14.74558321860871,0.032600995810437565
SS,Context only,ExtraTrees,log1p,114,48.717520745353845,45.126481340101385,21.36279592117636,0.14439755821309683,0.47418416100869276,0.38652354835468544,-12.839920816546519,0.8128668879724564,0.20035818884384027,0.06946629202923786,0.38652354835468544
SS,Context only,RandomForest,log1p,114,49.77065590357352,43.857002630157496,22.217676907000623,0.06549906920883297,0.37996273379759143,0.3255298910171133,-12.82888441150945,0.8462730679690947,0.15274055465840536,-0.014293359584289669,0.3255298910171133
